"respname"	"contrast"	"diff"	"lwr"	"upr"	"p.adj"
"Community biomass (g)"	"2_N-1_S"	"-66.162"	"-87.1783318827682"	"-45.1456681172318"	"1.08801856413265e-13"
"Community biomass (g)"	"2_P-1_S"	"-47.431"	"-68.4473318827682"	"-26.4146681172318"	"1.12523246276197e-09"
"Community biomass (g)"	"2_S-1_S"	"3.54599999999998"	"-17.4703318827682"	"24.5623318827682"	"0.999989809869005"
"Community biomass (g)"	"4_N-1_S"	"-58.05"	"-79.0663318827682"	"-37.0336681172318"	"3.43391981516561e-13"
"Community biomass (g)"	"4_P-1_S"	"-56.36"	"-77.3763318827682"	"-35.3436681172318"	"9.7755137318245e-13"
"Community biomass (g)"	"4_S-1_S"	"-11.0597777777778"	"-32.652006202641"	"10.5324506470855"	"0.858549968954116"
"Community biomass (g)"	"5_N-1_S"	"-55.016"	"-76.0323318827682"	"-33.9996681172318"	"2.65809596555755e-12"
"Community biomass (g)"	"5_P-1_S"	"-53.608"	"-74.6243318827682"	"-32.5916681172318"	"8.06699151922885e-12"
"Community biomass (g)"	"5_S-1_S"	"-20.234"	"-41.2503318827682"	"0.782331882768226"	"0.0704758831593124"
"Community biomass (g)"	"2_P-2_N"	"18.731"	"-2.28533188276818"	"39.7473318827682"	"0.129611131457451"
"Community biomass (g)"	"2_S-2_N"	"69.708"	"48.6916681172318"	"90.7243318827682"	"8.34887714518118e-14"
"Community biomass (g)"	"4_N-2_N"	"8.11200000000005"	"-12.9043318827682"	"29.1283318827683"	"0.978658112348225"
"Community biomass (g)"	"4_P-2_N"	"9.80200000000002"	"-11.2143318827682"	"30.8183318827682"	"0.919501602326665"
"Community biomass (g)"	"4_S-2_N"	"55.1022222222223"	"33.509993797359"	"76.6944506470855"	"7.90989496124439e-12"
"Community biomass (g)"	"5_N-2_N"	"11.146"	"-9.87033188276818"	"32.1623318827682"	"0.828650318563676"
"Community biomass (g)"	"5_P-2_N"	"12.554"	"-8.46233188276817"	"33.5703318827682"	"0.694385522963932"
"Community biomass (g)"	"5_S-2_N"	"45.928"	"24.9116681172318"	"66.9443318827683"	"3.67148800251016e-09"
"Community biomass (g)"	"2_S-2_P"	"50.977"	"29.9606681172318"	"71.9933318827682"	"6.66151578343488e-11"
"Community biomass (g)"	"4_N-2_P"	"-10.619"	"-31.6353318827682"	"10.3973318827682"	"0.86913845993011"
"Community biomass (g)"	"4_P-2_P"	"-8.92900000000001"	"-29.9453318827682"	"12.0873318827682"	"0.956913580619816"
"Community biomass (g)"	"4_S-2_P"	"36.3712222222222"	"14.778993797359"	"57.9634506470855"	"9.58688537688879e-06"
"Community biomass (g)"	"5_N-2_P"	"-7.585"	"-28.6013318827682"	"13.4313318827682"	"0.987361504743632"
"Community biomass (g)"	"5_P-2_P"	"-6.17699999999999"	"-27.1933318827682"	"14.8393318827682"	"0.997780330672326"
"Community biomass (g)"	"5_S-2_P"	"27.197"	"6.18066811723181"	"48.2133318827682"	"0.00197315350077221"
"Community biomass (g)"	"4_N-2_S"	"-61.596"	"-82.6123318827682"	"-40.5796681172318"	"1.42441614059408e-13"
"Community biomass (g)"	"4_P-2_S"	"-59.906"	"-80.9223318827682"	"-38.8896681172318"	"1.82964754458226e-13"
