potid	bk	comptrt	densitytrt	densitytrt2	monotrt	mivi	total	percmivibiom	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi
29	2	P	L2	67	MvPv	14.35	22.46	64	4.38	48.81	53.1888	0.9176	-0.3083	4.4915	4.1832	81.30
45	3	P	L2	67	MvPv	19.81	25.49	78	9.82	16.50	26.3175	0.6269	-0.7998	3.8038	3.0041	78.07
61	4	P	L2	67	MvPv	5.30	27.89	19	19.19	24.40	43.5883	0.5598	-1.5619	4.4390	2.8771	79.80
77	5	P	L2	67	MvPv	10.79	23.74	45	12.55	27.07	39.6224	0.6833	-0.9861	2.8473	1.8612	76.95
93	6	P	L2	67	MvPv	19.12	31.12	61	4.42	66.46	70.8799	0.9376	-0.3143	-4.7902	-5.1045	80.62
109	7	P	L2	67	MvPv	24.08	28.39	85	8.02	51.91	59.9269	0.8662	-0.5183	0.2228	-0.2955	80.32
125	8	P	L2	67	MvPv	19.95	36.35	55	3.32	28.23	31.5490	0.8949	-0.2514	-1.5403	-1.7917	80.07
141	9	P	L2	67	MvPv	12.86	39.31	33	7.72	19.13	26.8578	0.7124	-0.6420	2.1264	1.4844	80.29
157	10	P	L2	67	MvPv	17.88	35.12	51	5.99	19.63	25.6222	0.7661	-0.4919	1.3348	0.8429	79.53
14	1	P	L3	33	MvPv	10.90	36.46	30	6.02	15.24	21.2640	0.7168	-0.3869	5.5646	5.1778	69.29
30	2	P	L3	33	MvPv	12.41	31.16	40	14.76	26.44	41.1955	0.6418	-1.0581	0.7614	-0.2968	78.01
46	3	P	L3	33	MvPv	6.54	24.05	27	16.80	19.46	36.2620	0.5366	-1.3692	5.9897	4.6205	81.91
62	4	P	L3	33	MvPv	7.31	39.53	18	25.00	22.62	47.6217	0.4751	-2.0600	2.8074	0.7473	81.21
78	5	P	L3	33	MvPv	8.13	28.18	29	7.03	22.24	29.2718	0.7598	-0.5421	-1.1560	-1.6980	75.11
94	6	P	L3	33	MvPv	15.19	36.32	42	7.99	38.69	46.6804	0.8289	-0.5694	-2.8502	-3.4196	72.53
110	7	P	L3	33	MvPv	10.86	47.59	23	8.15	53.87	62.0173	0.8686	-0.5122	2.4369	1.9246	81.34
142	9	P	L3	33	MvPv	4.20	41.44	10	5.80	10.11	15.9052	0.6356	-0.4732	3.9021	3.4289	79.40
158	10	P	L3	33	MvPv	5.55	39.14	14	3.12	11.84	14.9623	0.7913	-0.1401	-0.4842	-0.6243	77.17
15	1	P	L4	17	MvPv	3.32	20.79	16	12.03	46.51	58.5464	0.7945	-0.9352	9.3692	8.4340	80.32
31	2	P	L4	17	MvPv	7.39	40.54	18	6.88	12.33	19.2018	0.6419	-0.4771	4.5276	4.0505	74.24
47	3	P	L4	17	MvPv	5.72	34.20	17	8.49	19.95	28.4410	0.7013	-0.6907	0.6555	-0.0352	76.21
63	4	P	L4	17	MvPv	6.72	26.75	25	15.70	27.57	43.2714	0.6371	-1.2933	3.0624	1.7691	80.79
79	5	P	L4	17	MvPv	5.40	35.81	15	11.70	25.18	36.8809	0.6827	-0.8865	1.7193	0.8328	79.86
95	6	P	L4	17	MvPv	7.97	32.13	25	15.18	59.00	74.1821	0.7954	-1.2162	-0.9740	-2.1902	81.07
127	8	P	L4	17	MvPv	0.32	35.61	1	5.86	37.35	43.2162	0.8643	-0.4200	-0.3567	-0.7767	83.04
143	9	P	L4	17	MvPv	9.98	34.96	29	9.29	21.50	30.7890	0.6983	-0.7079	-0.0604	-0.7684	81.55
7	1	S	L1	83	MvSb	6.77	53.09	13	10.21	15.21	25.4127	0.5983	-0.7996	5.2469	4.4473	74.47
23	2	S	L1	83	MvSb	2.16	47.12	5	11.03	17.85	28.8796	0.6180	-0.8864	4.5898	3.7034	78.20
55	4	S	L1	83	MvSb	3.44	57.84	6	11.45	12.30	23.7507	0.5181	-0.9404	0.7336	-0.2068	72.07
71	5	S	L1	83	MvSb	4.29	42.48	10	10.44	19.69	30.1252	0.6536	-0.8471	1.9828	1.1357	77.41
87	6	S	L1	83	MvSb	3.03	78.19	4	5.90	60.01	65.9149	0.9105	-0.3893	-2.5082	-2.8975	80.15
103	7	S	L1	83	MvSb	4.73	88.95	5	4.50	48.21	52.7068	0.9147	-0.2229	-1.8155	-2.0384	76.95
119	8	S	L1	83	MvSb	4.86	86.15	6	6.43	36.01	42.4398	0.8484	-0.3976	-2.0466	-2.4441	70.48
135	9	S	L1	83	MvSb	7.88	84.90	9	3.74	20.22	23.9547	0.8439	-0.2858	0.3134	0.0276	65.26
151	10	S	L1	83	MvSb	13.05	76.19	17	3.73	13.06	16.7967	0.7778	-0.3094	0.8780	0.5685	79.37
8	1	S	L2	67	MvSb	2.54	53.81	5	3.73	15.06	18.7883	0.8016	-0.2352	1.1436	0.9084	74.47
24	2	S	L2	67	MvSb	1.33	47.46	3	24.93	19.50	44.4301	0.4389	-2.0136	10.4434	8.4298	77.99
40	3	S	L2	67	MvSb	2.53	65.84	4	5.56	13.74	19.2967	0.7119	-0.4569	0.3735	-0.0834	78.07
56	4	S	L2	67	MvSb	5.36	67.39	8	17.63	23.56	41.1930	0.5720	-1.2247	0.6126	-0.6121	75.21
72	5	S	L2	67	MvSb	2.62	58.27	4	14.19	17.47	31.6596	0.5517	-1.1385	1.5267	0.3882	73.98
88	6	S	L2	67	MvSb	2.86	92.01	3	2.01	25.49	27.5018	0.9270	-0.1180	-1.5745	-1.6925	52.26
104	7	S	L2	67	MvSb	4.55	65.25	7	6.10	48.70	54.7989	0.8886	-0.2911	-2.4818	-2.7728	77.14
120	8	S	L2	67	MvSb	4.09	119.67	3	1.29	25.36	26.6485	0.9517	-0.0226	-1.5178	-1.5404	64.63
136	9	S	L2	67	MvSb	0.61	104.24	1	1.00	4.03	5.0287	0.8020	-0.0782	1.2135	1.1353	63.84
152	10	S	L2	67	MvSb	1.52	70.08	2	4.15	0.02	4.1659	0.0039	-0.3444	0.7007	0.3564	75.43
9	1	S	L3	33	MvSb	0.53	63.76	1	12.85	23.81	36.6528	0.6495	-1.0242	-0.2979	-1.3221	72.31
25	2	S	L3	33	MvSb	0.51	78.61	1	3.77	20.91	24.6874	0.8472	-0.2301	5.3170	5.0869	77.78
41	3	S	L3	33	MvSb	1.19	61.48	2	2.19	10.34	12.5292	0.8254	-0.0742	1.3690	1.2948	58.41
57	4	S	L3	33	MvSb	0.45	99.96	0	11.23	24.01	35.2401	0.6813	-0.8083	-1.2052	-2.0135	64.94
73	5	S	L3	33	MvSb	0.75	69.59	1	1.45	13.18	14.6277	0.9011	0.0062	-0.4634	-0.4572	54.96
89	6	S	L3	33	MvSb	0.67	81.18	1	5.91	48.05	53.9629	0.8905	-0.3162	-0.5023	-0.8185	74.81
105	7	S	L3	33	MvSb	0.57	122.65	0	12.87	29.92	42.7872	0.6992	-0.9185	-1.5929	-2.5114	64.32
121	8	S	L3	33	MvSb	0.54	115.75	0	1.81	28.55	30.3578	0.9405	0.0079	-1.6886	-1.6807	64.65
137	9	S	L3	33	MvSb	0.58	111.32	1	0.38	5.20	5.5773	0.9326	0.0279	0.2043	0.2322	65.45
153	10	S	L3	33	MvSb	0.35	90.88	0	2.59	12.16	14.7477	0.8243	-0.2093	-1.0036	-1.2129	72.86
10	1	S	L4	17	MvSb	1.01	69.26	1	3.74	10.33	14.0750	0.7339	-0.2794	1.3598	1.0805	70.09
26	2	S	L4	17	MvSb	0.11	55.21	0	16.68	16.27	32.9464	0.4938	-1.3660	4.8091	3.4432	78.82
42	3	S	L4	17	MvSb	0.35	78.41	0	4.76	15.14	19.8963	0.7608	-0.3132	0.2668	-0.0464	71.24
58	4	S	L4	17	MvSb	0.37	84.22	0	12.21	16.85	29.0621	0.5800	-0.9696	0.3887	-0.5808	73.00
74	5	S	L4	17	MvSb	0.16	62.83	0	6.32	18.22	24.5379	0.7426	-0.3789	-0.8567	-1.2356	74.82
90	6	S	L4	17	MvSb	0.31	88.68	0	7.61	49.95	57.5626	0.8678	-0.5043	-0.8573	-1.3616	76.98
106	7	S	L4	17	MvSb	0.03	116.26	0	2.39	30.37	32.7633	0.9270	-0.0452	-1.8279	-1.8732	59.26
122	8	S	L4	17	MvSb	0.33	107.86	0	1.34	23.18	24.5144	0.9455	-0.0123	-1.3484	-1.3606	52.42
138	9	S	L4	17	MvSb	0.81	118.87	1	1.28	5.84	7.1257	0.8200	-0.0440	-0.4482	-0.4921	64.49
154	10	S	L4	17	MvSb	2.24	77.82	3	2.21	8.76	10.9725	0.7987	-0.1040	0.1206	0.0167	68.56
16	1	P	L5	0	Pv	NA	21.88	0	2.97	41.77	44.7338	0.9337	-0.2336	7.1621	6.9285	80.52
32	2	P	L5	0	Pv	NA	28.86	0	9.82	16.40	26.2210	0.6256	-0.7774	2.7201	1.9427	80.49
48	3	P	L5	0	Pv	NA	33.37	0	9.88	16.70	26.5888	0.6282	-0.7819	0.1347	-0.6471	67.41
64	4	P	L5	0	Pv	NA	35.34	0	6.88	20.33	27.2141	0.7471	-0.4588	0.5559	0.0970	78.03
80	5	P	L5	0	Pv	NA	27.46	0	11.76	21.93	33.6909	0.6509	-0.9082	-0.4134	-1.3216	79.35
96	6	P	L5	0	Pv	NA	31.41	0	4.28	44.77	49.0499	0.9127	-0.2990	-2.8225	-3.1215	76.47
112	7	P	L5	0	Pv	NA	26.87	0	13.72	41.98	55.6977	0.7537	-0.9354	-0.6535	-1.5889	81.03
128	8	P	L5	0	Pv	NA	34.35	0	5.38	34.37	39.7513	0.8647	-0.3319	-1.9862	-2.3181	80.34
160	10	P	L5	0	Pv	NA	48.47	0	2.72	6.28	9.0045	0.6979	-0.2221	0.3895	0.1674	81.94
11	1	S	L5	0	Sb	NA	52.06	0	2.77	15.33	18.0997	0.8472	-0.1936	-0.0173	-0.2110	69.14
27	2	S	L5	0	Sb	NA	59.08	0	3.47	10.46	13.9234	0.7510	-0.2093	0.2260	0.0167	75.09
43	3	S	L5	0	Sb	NA	60.18	0	6.67	16.37	23.0405	0.7106	-0.5248	0.7185	0.1937	78.04
59	4	S	L5	0	Sb	NA	95.60	0	12.35	15.42	27.7684	0.5553	-0.9888	0.9403	-0.0484	71.26
75	5	S	L5	0	Sb	NA	77.54	0	3.41	11.76	15.1751	0.7752	-0.2081	0.1997	-0.0084	49.34
91	6	S	L5	0	Sb	NA	74.65	0	2.12	35.51	37.6291	0.9437	-0.0513	-2.4540	-2.5053	66.54
107	7	S	L5	0	Sb	NA	114.61	0	2.47	33.15	35.6154	0.9307	-0.0452	-1.8852	-1.9304	65.31
123	8	S	L5	0	Sb	NA	115.83	0	0.89	21.04	21.9319	0.9595	0.0688	-0.4334	-0.3645	56.98
139	9	S	L5	0	Sb	NA	108.02	0	0.20	4.17	4.3703	0.9539	0.0724	0.2499	0.3223	54.75
155	10	S	L5	0	Sb	NA	81.01	0	4.46	11.70	16.1548	0.7241	-0.2631	2.8571	2.5940	78.47
