expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed	miviind	paviind	sobiind	mivipot	pavipot	sobipot	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	hdate	soilmoi	weedpres
E4	117	8	N	L4	36.4	NA	NA	0	36.4	100	0	0	0	1	0	0	17	0	0	36.4	NA	NA	1.3472	34.6087	35.9559	96.2533	-0.0028	0.0657	0.0628	7/22/11	80.14	NW
E4	133	9	N	L4	23.33	NA	NA	0	23.33	100	0	0	0	1	0	0	17	0	0	23.33	NA	NA	5.1134	21.8357	26.9492	81.0256	0.0171	0.046	0.0631	7/27/11	75.68	W
E4	149	10	N	L4	13.74	NA	NA	0	13.74	100	0	0	0	1	0	0	17	0	0	13.74	NA	NA	8.6091	20.4804	29.0895	70.4048	0.0298	-0.005	0.0248	7/27/11	81.5	W
E4	6	1	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	2.0212	113.0142	115.0354	98.2429	0.0058	-0.3602	-0.3544	7/16/11	83.06	W
E4	22	2	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	10.0149	74.6131	84.628	88.1659	0.0322	-0.1246	-0.0924	7/16/11	82.61	W
E4	38	3	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	19.0947	85.1396	104.2343	81.681	0.0655	0.2349	0.3005	7/18/11	80.31	W
E4	54	4	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	22.8036	43.4561	66.2597	65.5845	0.0783	-0.1131	-0.0348	7/19/11	80.26	W
E4	70	5	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	5.4743	89.4789	94.9532	94.2347	0.0183	-0.0908	-0.0724	7/20/11	80.97	NW
E4	86	6	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	4.4658	93.0122	97.478	95.4186	0.0118	0.1631	0.1749	7/20/11	81.61	W
E4	102	7	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	14.473	87.1059	101.5789	85.7519	0.0401	0.186	0.226	7/22/11	83.27	NW
E4	118	8	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	18.8261	63.9665	82.7926	77.2611	0.0558	0.1482	0.204	7/22/11	83.39	W
E4	134	9	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	9.4341	80.085	89.5191	89.4613	0.0327	0.0784	0.1111	7/27/11	80.8	W
E4	150	10	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	10.2052	85.6741	95.8793	89.3562	0.032	-0.022	0.01	7/27/11	82.54	W
E4	12	1	P	L1	21.16	4.5	NA	0	25.66	82	18	0	0	5	1	0	83	17	0	4.23	4.5	NA	2.3465	49.43	51.7765	95.4681	0.0051	-0.1094	-0.1043	7/16/11	78.8	NW
E4	28	2	P	L1	19.1	5.22	NA	0	24.32	79	21	0	0	5	1	0	83	17	0	3.82	5.22	NA	13.2257	36.8813	50.107	73.6051	0.0439	-0.1336	-0.0898	7/16/11	80	W
E4	44	3	P	L1	33.74	3.88	NA	0.1	37.72	89	10	0	0	5	1	0	83	17	0	6.75	3.88	NA	21.0548	20.5639	41.6187	49.4102	0.0723	-0.2703	-0.198	7/18/11	78.8	W
E4	60	4	P	L1	14.58	10.5	NA	0	25.08	58	42	0	0	5	1	0	83	17	0	2.92	10.5	NA	18.9962	22.993	41.9892	54.7593	0.0648	-0.063	0.0019	7/19/11	76.54	NW
E4	76	5	P	L1	7.91	27.46	NA	0	35.37	22	78	0	0	5	1	0	83	17	0	1.58	27.46	NA	11.3979	31.1058	42.5036	73.1837	0.036	-0.0519	-0.0159	7/20/11	75.35	NW
E4	92	6	P	L1	28.45	3.15	NA	0	31.6	90	10	0	0	5	1	0	83	17	0	5.69	3.15	NA	2.9659	54.2943	57.2602	94.8202	0.0068	0.1713	0.1781	7/20/11	73.99	NW
E4	108	7	P	L1	25.25	3.57	NA	0	28.82	88	12	0	0	5	1	0	83	17	0	5.05	3.57	NA	13.4556	18.7222	32.1778	58.1836	0.0378	-0.1087	-0.0709	7/22/11	75.77	NW
E4	124	8	P	L1	26.63	6.35	NA	0	32.98	81	19	0	0	5	1	0	83	17	0	5.33	6.35	NA	8.9663	37.1386	46.1049	80.5523	0.0304	-0.0351	-0.0047	7/22/11	79.78	NW
E4	140	9	P	L1	29.85	3.48	NA	1.08	34.41	87	10	0	3	5	1	0	83	17	0	5.97	3.48	NA	6.1156	16.7637	22.8793	73.2703	0.0188	0.0153	0.0341	7/27/11	80	W
E4	156	10	P	L1	30.94	17.62	NA	0	48.56	64	36	0	0	5	1	0	83	17	0	6.19	17.62	NA	9.3698	14.6534	24.0233	60.9968	0.0312	-0.213	-0.1818	7/27/11	76.9	NW
E4	13	1	P	L2	16.28	9.67	NA	0	25.95	63	37	0	0	4	2	0	67	33	0	4.07	4.84	NA	5.6768	34.0102	39.687	85.6961	0.0175	-0.0227	-0.0053	7/16/11	76.92	NW
E4	29	2	P	L2	14.35	8.11	NA	0	22.46	64	36	0	0	4	2	0	67	33	0	3.59	4.06	NA	4.3828	48.8061	53.1888	91.76	0.0128	-0.1871	-0.1743	7/16/11	81.3	NW
E4	45	3	P	L2	19.81	5.68	NA	0	25.49	78	22	0	0	4	2	0	67	33	0	4.95	2.84	NA	9.8183	16.4992	26.3175	62.6929	0.0333	-0.1585	-0.1252	7/18/11	78.07	NW
E4	61	4	P	L2	5.3	22.59	NA	0	27.89	19	81	0	0	4	2	0	67	33	0	1.33	11.3	NA	19.189	24.3993	43.5883	55.9767	0.0651	-0.185	-0.1199	7/19/11	79.8	W
E4	77	5	P	L2	10.79	12.95	NA	0	23.74	45	55	0	0	4	2	0	67	33	0	2.7	6.48	NA	12.5489	27.0735	39.6224	68.3288	0.0411	-0.1186	-0.0776	7/20/11	76.95	NW
E4	93	6	P	L2	19.12	12	NA	0	31.12	61	39	0	0	4	2	0	67	33	0	4.78	6	NA	4.42	66.4599	70.8799	93.764	0.0131	0.1996	0.2127	7/20/11	80.62	NW
E4	109	7	P	L2	24.08	4.31	NA	0	28.39	85	15	0	0	4	2	0	67	33	0	6.02	2.16	NA	8.0173	51.9096	59.9269	86.6215	0.0216	-0.0093	0.0123	7/22/11	80.32	NW
E4	125	8	P	L2	19.95	16.4	NA	0	36.35	55	45	0	0	4	2	0	67	33	0	4.99	8.2	NA	3.315	28.234	31.549	89.4925	0.0105	0.0642	0.0747	7/22/11	80.07	NW
E4	141	9	P	L2	12.86	26.45	NA	0	39.31	33	67	0	0	4	2	0	67	33	0	3.22	13.23	NA	7.7235	19.1342	26.8578	71.2428	0.0267	-0.0886	-0.0619	7/27/11	80.29	NW
E4	157	10	P	L2	17.88	17.24	NA	0	35.12	51	49	0	0	4	2	0	67	33	0	4.47	8.62	NA	5.9931	19.6291	25.6222	76.6098	0.0205	-0.0556	-0.0351	7/27/11	79.53	NW
E4	14	1	P	L3	10.9	25.56	NA	0	36.46	30	70	0	0	2	4	0	33	67	0	5.45	6.39	NA	6.0211	15.243	21.264	71.6843	0.0161	-0.2319	-0.2157	7/16/11	69.29	NW
E4	30	2	P	L3	12.41	18.75	NA	0	31.16	40	60	0	0	2	4	0	33	67	0	6.21	4.69	NA	14.7566	26.4389	41.1955	64.1792	0.0441	-0.0317	0.0124	7/16/11	78.01	NW
E4	46	3	P	L3	6.54	17.51	NA	0	24.05	27	73	0	0	2	4	0	33	67	0	3.27	4.38	NA	16.8035	19.4585	36.262	53.6609	0.0571	-0.2496	-0.1925	7/18/11	81.91	W
E4	62	4	P	L3	7.31	32.22	NA	0	39.53	18	82	0	0	2	4	0	33	67	0	3.66	8.06	NA	24.9986	22.6231	47.6217	47.5059	0.0858	-0.117	-0.0311	7/19/11	81.21	NW
E4	78	5	P	L3	8.13	20.05	NA	0	28.18	29	71	0	0	2	4	0	33	67	0	4.07	5.01	NA	7.03	22.2418	29.2718	75.9836	0.0226	0.0482	0.0708	7/20/11	75.11	NW
E4	94	6	P	L3	15.19	21.13	NA	0	36.32	42	58	0	0	2	4	0	33	67	0	7.6	5.28	NA	7.9857	38.6947	46.6804	82.8928	0.0237	0.1188	0.1425	7/20/11	72.53	NW
E4	110	7	P	L3	10.86	36.66	NA	0.07	47.59	23	77	0	0	2	4	0	33	67	0	5.43	9.17	NA	8.147	53.8702	62.0173	86.8633	0.0211	-0.1015	-0.0804	7/22/11	81.34	W
E4	126	8	P	L3	17.94	43.37	NA	0.42	61.73	29	70	0	1	2	4	0	33	67	0	8.97	10.84	NA	4.6685	34.5693	39.2378	88.102	0.0155	0.0854	0.101	7/22/11	78.87	W
E4	142	9	P	L3	4.2	37.24	NA	0	41.44	10	90	0	0	2	4	0	33	67	0	2.1	9.31	NA	5.7951	10.1101	15.9052	63.5647	0.0197	-0.1626	-0.1429	7/27/11	79.4	NW
E4	158	10	P	L3	5.55	33.59	NA	0	39.14	14	86	0	0	2	4	0	33	67	0	2.78	8.4	NA	3.1221	11.8402	14.9623	79.1333	0.0058	0.0202	0.026	7/27/11	77.17	NW
E4	15	1	P	L4	3.32	17.47	NA	0	20.79	16	84	0	0	1	5	0	17	83	0	3.32	3.49	NA	12.0318	46.5145	58.5464	79.4491	0.039	-0.3904	-0.3514	7/16/11	80.32	NW
E4	31	2	P	L4	7.39	33.15	NA	0	40.54	18	82	0	0	1	5	0	17	83	0	7.39	6.63	NA	6.8767	12.3251	19.2018	64.1873	0.0199	-0.1887	-0.1688	7/16/11	74.24	NW
E4	47	3	P	L4	5.72	28.48	NA	0	34.2	17	83	0	0	1	5	0	17	83	0	5.72	5.7	NA	8.4943	19.9467	28.441	70.1335	0.0288	-0.0273	0.0015	7/18/11	76.21	NW
E4	63	4	P	L4	6.72	20.03	NA	0	26.75	25	75	0	0	1	5	0	17	83	0	6.72	4.01	NA	15.702	27.5694	43.2714	63.7128	0.0539	-0.1276	-0.0737	7/19/11	80.79	NW
E4	79	5	P	L4	5.4	30.41	NA	0	35.81	15	85	0	0	1	5	0	17	83	0	5.4	6.08	NA	11.7033	25.1776	36.8809	68.2673	0.0369	-0.0716	-0.0347	7/20/11	79.86	NW
E4	95	6	P	L4	7.97	24.16	NA	0	32.13	25	75	0	0	1	5	0	17	83	0	7.97	4.83	NA	15.1785	59.0035	74.1821	79.5388	0.0507	0.0406	0.0913	7/20/11	81.07	NW
E4	111	7	P	L4	4.47	26.93	NA	0.41	31.81	14	85	0	1	1	5	0	17	83	0	4.47	5.39	NA	22.0964	41.2479	63.3443	65.117	0.0677	-0.1217	-0.054	7/22/11	79.55	W
E4	127	8	P	L4	0.32	35.29	NA	0	35.61	1	99	0	0	1	5	0	17	83	0	0.32	7.06	NA	5.8645	37.3518	43.2162	86.43	0.0175	0.0149	0.0324	7/22/11	83.04	NW
E4	143	9	P	L4	9.98	24.98	NA	0	34.96	29	71	0	0	1	5	0	17	83	0	9.98	5	NA	9.2879	21.501	30.789	69.8336	0.0295	0.0025	0.032	7/27/11	81.55	NW
E4	159	10	P	L4	8.8	25.81	NA	0.45	35.06	25	74	0	1	1	5	0	17	83	0	8.8	5.16	NA	11.1012	17.5583	28.6595	61.2652	0.0352	0.0115	0.0467	7/27/11	80.34	W
E4	16	1	P	L5	0	21.88	NA	0	21.88	0	100	0	0	0	6	0	0	100	0	NA	3.65	NA	2.968	41.7658	44.7338	93.3651	0.0097	-0.2984	-0.2887	7/16/11	80.52	W
E4	32	2	P	L5	0	27.6	NA	1.26	28.86	0	96	0	0	0	6	0	0	100	0	NA	4.6	NA	9.8184	16.4026	26.221	62.5552	0.0324	-0.1133	-0.0809	7/16/11	80.49	W
E4	48	3	P	L5	0	33.37	NA	0	33.37	0	100	0	0	0	6	0	0	100	0	NA	5.56	NA	9.8848	16.704	26.5888	62.8233	0.0326	-0.0056	0.027	7/18/11	67.41	W
E4	64	4	P	L5	0	35.34	NA	0	35.34	0	100	0	0	0	6	0	0	100	0	NA	5.89	NA	6.883	20.3312	27.2141	74.7081	0.0191	-0.0232	-0.004	7/19/11	78.03	NW
E4	80	5	P	L5	0	27.46	NA	0	27.46	0	100	0	0	0	6	0	0	100	0	NA	4.58	NA	11.7627	21.9282	33.6909	65.0865	0.0378	0.0172	0.0551	7/20/11	79.35	NW
E4	96	6	P	L5	0	31.41	NA	0	31.41	0	100	0	0	0	6	0	0	100	0	NA	5.24	NA	4.2797	44.7701	49.0499	91.2747	0.0125	0.1176	0.1301	7/20/11	76.47	W
E4	112	7	P	L5	0	26.87	NA	0	26.87	0	100	0	0	0	6	0	0	100	0	NA	4.48	NA	13.7182	41.9796	55.6977	75.3703	0.039	0.0272	0.0662	7/22/11	81.03	NW
E4	128	8	P	L5	0	34.35	NA	0	34.35	0	100	0	0	0	6	0	0	100	0	NA	5.73	NA	5.3792	34.3721	39.7513	86.4679	0.0138	0.0828	0.0966	7/22/11	80.34	NW
E4	144	9	P	L5	0	46.19	NA	3.38	49.57	0	93	0	7	0	6	0	0	100	0	NA	7.7	NA	8.3713	43.9048	52.2761	83.9864	0.029	0.0687	0.0977	7/27/11	78.79	W
E4	160	10	P	L5	0	48.47	NA	0	48.47	0	100	0	0	0	6	0	0	100	0	NA	8.08	NA	2.72	6.2845	9.0045	69.7929	0.0093	-0.0162	-0.007	7/27/11	81.94	NW
E4	7	1	S	L1	6.77	NA	46.32	0	53.09	13	0	87	0	5	0	1	83	0	17	1.35	NA	46.32	10.2075	15.2052	25.4127	59.8331	0.0333	-0.2186	-0.1853	7/16/11	74.47	NW
E4	23	2	S	L1	2.16	NA	44.96	0	47.12	5	0	95	0	5	0	1	83	0	17	0.43	NA	44.96	11.0322	17.8474	28.8796	61.7993	0.0369	-0.1912	-0.1543	7/16/11	78.2	W
E4	39	3	S	L1	2.7	NA	39.47	0.31	42.48	6	0	93	1	5	0	1	83	0	17	0.54	NA	39.47	15.6248	11.7336	27.3584	42.8886	0.0536	-0.2479	-0.1943	7/18/11	81.82	W
E4	55	4	S	L1	3.44	NA	54.4	0	57.84	6	0	94	0	5	0	1	83	0	17	0.69	NA	54.4	11.4462	12.3045	23.7507	51.8069	0.0392	-0.0306	0.0086	7/19/11	72.07	NW
E4	71	5	S	L1	4.29	NA	38.19	0	42.48	10	0	90	0	5	0	1	83	0	17	0.86	NA	38.19	10.4368	19.6884	30.1252	65.3553	0.0353	-0.0826	-0.0473	7/20/11	77.41	W
E4	87	6	S	L1	3.03	NA	75.16	0	78.19	4	0	96	0	5	0	1	83	0	17	0.61	NA	75.16	5.9024	60.0126	65.9149	91.0455	0.0162	0.1045	0.1207	7/20/11	80.15	NW
E4	103	7	S	L1	4.73	NA	84.22	0	88.95	5	0	95	0	5	0	1	83	0	17	0.95	NA	84.22	4.4963	48.2105	52.7068	91.4692	0.0093	0.0756	0.0849	7/22/11	76.95	NW
