expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	66	5	20	N	L1	28.24	NA	NA	0	28.24	100	0	5	0	0	83	5.65	NA	NA	6.3746	24.7749	31.1494	0.0215	-0.1714	-0.15	75.55	NA
E4	67	5	20	N	L2	28.26	NA	NA	0	28.26	100	0	4	0	0	67	7.07	NA	NA	11.5365	17.7578	29.2943	0.0377	-0.0039	0.0338	77.97	NA
E4	68	5	20	N	L3	20.51	NA	NA	0	20.51	100	0	2	0	0	33	10.26	NA	NA	2.8422	16.475	19.3172	0.0078	-0.2414	-0.2336	75.66	NA
E4	69	5	20	N	L4	NA	NA	NA	0	0	0	0	1	0	0	17	NA	NA	NA	10.2826	36.2386	46.5212	0.0337	-0.0636	-0.0299	79.29	NA
E4	71	5	20	S	L1	4.29	NA	38.19	0	42.48	10	0	5	0	1	83	0.86	NA	38.19	10.4368	19.6884	30.1252	0.0353	-0.0826	-0.0473	77.41	NA
E4	72	5	20	S	L2	2.62	NA	55.65	0	58.27	4	0	4	0	2	67	0.66	NA	27.83	14.1916	17.468	31.6596	0.0474	-0.0636	-0.0162	73.98	NA
E4	73	5	20	S	L3	0.75	NA	68.79	0.05	69.59	1	0	2	0	4	33	0.38	NA	17.2	1.447	13.1807	14.6277	-0.0003	0.0193	0.019	54.96	NA
E4	74	5	20	S	L4	0.16	NA	62.67	0	62.83	0	0	1	0	5	17	0.16	NA	12.53	6.3161	18.2218	24.5379	0.0158	0.0357	0.0515	74.82	NA
E4	76	5	20	P	L1	7.91	27.46	NA	0	35.37	22	0	5	1	0	83	1.58	27.46	NA	11.3979	31.1058	42.5036	0.036	-0.0519	-0.0159	75.35	NA
E4	77	5	20	P	L2	10.79	12.95	NA	0	23.74	45	0	4	2	0	67	2.7	6.48	NA	12.5489	27.0735	39.6224	0.0411	-0.1186	-0.0776	76.95	NA
E4	78	5	20	P	L3	8.13	20.05	NA	0	28.18	29	0	2	4	0	33	4.07	5.01	NA	7.03	22.2418	29.2718	0.0226	0.0482	0.0708	75.11	NA
E4	79	5	20	P	L4	5.4	30.41	NA	0	35.81	15	0	1	5	0	17	5.4	6.08	NA	11.7033	25.1776	36.8809	0.0369	-0.0716	-0.0347	79.86	NA
E4	82	6	20	N	L1	36.76	NA	NA	0	36.76	100	0	5	0	0	83	7.35	NA	NA	4.0772	41.4143	45.4916	0.0123	0.1074	0.1197	67.85	NA
E4	83	6	20	N	L2	18.99	NA	NA	0	18.99	100	0	4	0	0	67	4.75	NA	NA	10.832	52.118	62.95	0.0358	0.0888	0.1246	78.45	NA
