expt	potid	bk	comptrt	denstrt	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd
E4	71	5	S	L1	10.43678873	19.68839705	30.12518578	65.3552718	0.035295077	-0.082615926	-0.047320849
E4	72	5	S	L2	14.19155225	17.4680413	31.65959354	55.17455956	0.047438182	-0.063614314	-0.016176133
E4	73	5	S	L3	1.447044833	13.18067582	14.62772065	90.10751663	-0.000260408	0.019310075	0.019049667
E4	74	5	S	L4	6.316130685	18.2218033	24.53793398	74.25972908	0.015789253	0.035695603	0.051484857
E4	75	5	S	L5	3.410866417	11.76424513	15.17511155	77.52328603	0.00866964	-0.008318951	0.000350689
E4	76	5	P	L1	11.3978842	31.10575938	42.50364358	73.18374792	0.035964114	-0.051879349	-0.015915235
E4	77	5	P	L2	12.54889378	27.07354839	39.62244216	68.32882303	0.041088759	-0.118639391	-0.077550632
E4	78	5	P	L3	7.030014995	22.24177211	29.2717871	75.98364948	0.022586353	0.048165207	0.07075156
E4	79	5	P	L4	11.70333875	25.17761115	36.8809499	68.26725238	0.036936893	-0.07163741	-0.034700518
E4	80	5	P	L5	11.76266789	21.92824742	33.69091531	65.08652917	0.037843343	0.017225242	0.055068585
E4	81	6	N	L0	5.584292996	51.43918331	57.02347631	90.20702813	0.018037173	0.138769443	0.156806616
E4	82	6	N	L1	4.077245728	41.41432131	45.49156704	91.03735924	0.012336001	0.107396697	0.119732698
E4	83	6	N	L2	10.83201302	52.11801805	62.95003107	82.79268043	0.035765628	0.088810062	0.124575691
E4	84	6	N	L3	4.635333895	55.30125746	59.93659135	92.26627042	0.014896674	-0.199423837	-0.184527164
E4	85	6	N	L4	7.374731883	47.08302	54.45775188	86.45788409	0.021498477	0.065426937	0.086925414
E4	86	6	N	L5	4.465831574	93.01217941	97.47801098	95.41862669	0.011779312	0.163082291	0.174861603
E4	87	6	S	L1	5.902352455	60.0125825	65.91493496	91.0455006	0.016219068	0.104508163	0.120727231
E4	88	6	S	L2	2.007620687	25.49421005	27.50183074	92.70004711	0.004916142	0.065603822	0.070519964
E4	89	6	S	L3	5.910322044	48.05255926	53.9628813	89.04743056	0.013175617	0.020929627	0.034105243
E4	90	6	S	L4	7.60893561	49.95365087	57.56258648	86.78145637	0.021013295	0.035720132	0.056733427
E4	91	6	S	L5	2.119685049	35.50943425	37.6291193	94.36690231	0.002138882	0.102249666	0.104388548
E4	92	6	P	L1	2.965939262	54.29428607	57.26022533	94.82024521	0.0068041	0.171270071	0.178074171
E4	93	6	P	L2	4.420038194	66.4598736	70.8799118	93.76404671	0.013094906	0.199591491	0.212686397
E4	94	6	P	L3	7.98572804	38.69465429	46.68038233	82.89275357	0.023723631	0.118757799	0.14248143
E4	95	6	P	L4	15.17852869	59.00353384	74.18206253	79.53881548	0.050676816	0.040582811	0.091259627
E4	96	6	P	L5	4.279748537	44.77010257	49.04985111	91.27469617	0.012460308	0.117602665	0.130062973
E4	97	7	N	L0	7.217352167	68.06224415	75.27959631	90.41260511	NA	NA	NA
E4	98	7	N	L1	8.756237789	50.05240447	58.80864226	85.11062753	0.025101391	0.002921237	0.028022628
E4	99	7	N	L2	32.8181768	32.43967305	65.25784986	49.7099937	0.105717093	-0.035428785	0.070288309
E4	100	7	N	L3	5.860518137	38.5257855	44.38630364	86.79656187	0.014067374	0.088893111	0.102960485
E4	101	7	N	L4	4.65902139	55.7272793	60.38630069	92.28463851	0.00932186	0.144279194	0.153601054
E4	102	7	N	L5	14.47301292	87.10587604	101.578889	85.751948	0.040060749	0.185982683	0.226043433
E4	103	7	S	L1	4.49628282	48.21047863	52.70676145	91.46924854	0.009285871	0.075647272	0.084933143
E4	104	7	S	L2	6.102642569	48.69628884	54.79893141	88.86357377	0.012127415	0.103406284	0.115533699
E4	105	7	S	L3	12.86906687	29.91815065	42.78721752	69.92310411	0.03827059	0.066369136	0.104639726
E4	106	7	S	L4	2.390951778	30.3723374	32.76328918	92.7023451	0.001884668	0.076164065	0.078048733
E4	107	7	S	L5	2.469815977	33.14556179	35.61537777	93.06531018	0.001882414	0.078552073	0.080434487
E4	108	7	P	L1	13.45560985	18.72223698	32.17784683	58.18362267	0.037845401	-0.108733569	-0.070888168
E4	109	7	P	L2	8.017329882	51.90960939	59.92693927	86.62149281	0.021596611	-0.009282042	0.012314569
E4	110	7	P	L3	8.147037442	53.87022731	62.01726475	86.86327513	0.021116319	-0.101537267	-0.080420948
E4	111	7	P	L4	22.09637138	41.24790326	63.34427464	65.11701885	0.067722931	-0.121749495	-0.054026564
E4	112	7	P	L5	13.71817363	41.97955435	55.69772798	75.37031738	0.038976512	0.027227514	0.066204026
E4	113	8	N	L0	5.862385129	46.00814224	51.87052737	88.69804217	0.012243853	0.112862259	0.125106112
E4	114	8	N	L1	8.912645602	39.58826272	48.50090833	81.62375529	0.023862906	0.079304165	0.103167071
E4	115	8	N	L2	16.15059521	47.07999053	63.23058574	74.45762202	0.045141745	-0.059359413	-0.014217668
E4	116	8	N	L3	10.30583427	46.9392561	57.24509036	81.99699887	0.02224119	-0.117883983	-0.095642793
E4	117	8	N	L4	1.34716782	34.60869809	35.95586591	96.25327388	-0.002840696	0.065658793	0.062818097
E4	118	8	N	L5	18.82611353	63.96651442	82.79262794	77.26112337	0.05583969	0.148186053	0.204025743
E4	119	8	S	L1	6.432537071	36.00723988	42.43977695	84.84314119	0.016565507	0.085273426	0.101838933
E4	120	8	S	L2	1.28794839	25.36056245	26.64851084	95.16690295	0.000943516	0.063240302	0.064183817
E4	121	8	S	L3	1.807369152	28.5504264	30.35779556	94.04644139	-0.000327985	0.070357877	0.070029892
E4	122	8	S	L4	1.336887518	23.17752316	24.51441068	94.54652394	0.000511636	0.056182021	0.056693657
E4	123	8	S	L5	0.888947371	21.04298858	21.93193595	95.94679023	-0.002957579	0.018056381	0.015098802
E4	124	8	P	L1	8.966340632	37.13855095	46.10489158	80.5523008	0.030410948	-0.03507797	-0.004667022
E4	125	8	P	L2	3.315023424	28.23397331	31.54899674	89.49246009	0.010476443	0.064177663	0.074654106
E4	126	8	P	L3	4.668514823	34.56925381	39.23776863	88.10198697	0.015515758	0.085449433	0.100965191
E4	127	8	P	L4	5.864457971	37.35177117	43.21622914	86.42996372	0.017497974	0.014864303	0.032362277
E4	128	8	P	L5	5.379176304	34.37214535	39.75132165	86.46793093	0.013829407	0.082756291	0.096585698
E4	129	9	N	L0	8.448394844	73.270742	81.71913685	89.66166902	0.027596057	0.233212606	0.260808663
E4	130	9	N	L1	8.617342095	69.36450754	77.98184964	88.94955411	0.029856269	0.172566577	0.202422845
E4	131	9	N	L2	1.465161134	28.66159823	30.12675937	95.1366786	-0.03437083	0.023976724	-0.010394106
E4	132	9	N	L3	12.09030242	42.95686925	55.04717167	78.03646935	0.041686634	0.040761235	0.082447869
E4	133	9	N	L4	5.113429616	21.83573871	26.94916833	81.02564965	0.017126592	0.045977181	0.063103773
E4	134	9	N	L5	9.43414258	80.08496933	89.51911191	89.46130901	0.032680718	0.07841278	0.111093499
E4	135	9	S	L1	3.738643471	20.21607884	23.95472232	84.39287493	0.011908264	-0.013058091	-0.001149827
E4	136	9	S	L2	0.995623158	4.033077486	5.028700644	80.20118459	0.003257268	-0.050561516	-0.047304249
E4	137	9	S	L3	0.375785943	5.201469624	5.577255567	93.262171	-0.001162855	-0.00851257	-0.009675424
E4	138	9	S	L4	1.282742757	5.843004127	7.125746884	81.9984799	0.001832621	0.018673012	0.020505633
E4	139	9	S	L5	0.201282808	4.168988364	4.370271172	95.39427188	-0.003015827	-0.010411505	-0.013427331
E4	140	9	P	L1	6.115568707	16.76372862	22.87929733	73.27029489	0.018803712	0.015269352	0.034073064
E4	141	9	P	L2	7.723546039	19.13422329	26.85776933	71.24278661	0.026748777	-0.088599203	-0.061850427
E4	142	9	P	L3	5.795106435	10.11007791	15.90518435	63.5646698	0.019716613	-0.162585523	-0.14286891
E4	143	9	P	L4	9.287940729	21.50103789	30.78897862	69.83355361	0.029497262	0.002518214	0.032015476
E4	144	9	P	L5	8.371288967	43.90476655	52.27605552	83.98637984	0.02900176	0.068665929	0.097667689
E4	145	10	N	L0	0.838283494	0.017423115	0.855706609	2.036108509	0.002346516	-0.057157307	-0.054810792
E4	146	10	N	L1	8.681216829	14.35141075	23.03262758	62.30904703	0.030074143	-0.014481815	0.015592327
E4	147	10	N	L2	6.456264277	18.56272797	25.01899225	74.19454703	0.021493291	0.027875332	0.049368623
E4	148	10	N	L3	1.582494015	15.04397677	16.62647078	90.48208104	0.004273123	0.019876217	0.02414934
E4	149	10	N	L4	8.609099564	20.48039708	29.08949664	70.40478331	0.02981883	-0.005044065	0.024774764
E4	150	10	N	L5	10.20521029	85.67413825	95.87934855	89.35619563	0.032026945	-0.021985891	0.010041054
E4	151	10	S	L1	3.732759004	13.06389422	16.79665323	77.77676926	0.012893391	-0.036582174	-0.023688784
E4	152	10	S	L2	4.149645812	0.016280702	4.165926514	0.390806264	0.014349607	-0.029197679	-0.014848072
E4	153	10	S	L3	2.590638044	12.15706984	14.74770789	82.43362248	0.008722793	0.041815535	0.050538328
E4	154	10	S	L4	2.208289532	8.764252077	10.97254161	79.87440276	0.004309538	-0.005026672	-0.000717135
E4	155	10	S	L5	4.456597448	11.69816483	16.15476228	72.41310413	0.010944061	-0.119044018	-0.108099956
E4	156	10	P	L1	9.369834943	14.65343833	24.02327327	60.9968432	0.031168816	-0.212963296	-0.18179448
E4	157	10	P	L2	5.99307705	19.62909169	25.62216874	76.6097979	0.020496205	-0.055618161	-0.035121956
E4	158	10	P	L3	3.122140767	11.84019149	14.96233226	79.13332819	0.005836043	0.020174676	0.026010719
E4	159	10	P	L4	11.10118803	17.55827537	28.6594634	61.26519231	0.035159279	0.011502791	0.04666207
E4	160	10	P	L5	2.719988802	6.284466417	9.004455219	69.79285547	0.009254078	-0.016228944	-0.006974867
