expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	hdate	soilmoi	weedpres
E4	53	4	N	L4	13.51	NA	NA	0.00	13.51	100	0	0	0	13.5888	16.7907	30.3794	55.2699	0.0463	-0.0267	0.0196	7/19/11	75.68	W
E4	54	4	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	22.8036	43.4561	66.2597	65.5845	0.0783	-0.1131	-0.0348	7/19/11	80.26	W
E4	55	4	S	L1	3.44	NA	54.40	0.00	57.84	6	0	94	0	11.4462	12.3045	23.7507	51.8069	0.0392	-0.0306	0.0086	7/19/11	72.07	NW
E4	56	4	S	L2	5.36	NA	62.03	0.00	67.39	8	0	92	0	17.6324	23.5606	41.1930	57.1957	0.0510	-0.0255	0.0255	7/19/11	75.21	W
E4	57	4	S	L3	0.45	NA	99.51	0.00	99.96	0	0	100	0	11.2306	24.0096	35.2401	68.1314	0.0337	0.0502	0.0839	7/19/11	64.94	NW
E4	58	4	S	L4	0.37	NA	83.85	0.00	84.22	0	0	100	0	12.2071	16.8550	29.0621	57.9965	0.0404	-0.0162	0.0242	7/19/11	73.00	NW
E4	59	4	S	L5	NA	NA	95.60	0.00	95.60	0	0	100	0	12.3493	15.4191	27.7684	55.5276	0.0412	-0.0392	0.0020	7/19/11	71.26	NW
E4	60	4	P	L1	14.58	10.50	NA	0.00	25.08	58	42	0	0	18.9962	22.9930	41.9892	54.7593	0.0648	-0.0630	0.0019	7/19/11	76.54	NW
E4	61	4	P	L2	5.30	22.59	NA	0.00	27.89	19	81	0	0	19.1890	24.3993	43.5883	55.9767	0.0651	-0.1850	-0.1199	7/19/11	79.80	W
E4	62	4	P	L3	7.31	32.22	NA	0.00	39.53	18	82	0	0	24.9986	22.6231	47.6217	47.5059	0.0858	-0.1170	-0.0311	7/19/11	81.21	NW
E4	63	4	P	L4	6.72	20.03	NA	0.00	26.75	25	75	0	0	15.7020	27.5694	43.2714	63.7128	0.0539	-0.1276	-0.0737	7/19/11	80.79	NW
E4	64	4	P	L5	NA	35.34	NA	0.00	35.34	0	100	0	0	6.8830	20.3312	27.2141	74.7081	0.0191	-0.0232	-0.0040	7/19/11	78.03	NW
E4	65	5	N	L0	41.36	NA	NA	0.00	41.36	100	0	0	0	8.6270	25.0031	33.6301	74.3473	0.0298	0.0228	0.0526	7/20/11	75.37	NW
E4	66	5	N	L1	28.24	NA	NA	0.00	28.24	100	0	0	0	6.3746	24.7749	31.1494	79.5355	0.0215	-0.1714	-0.1500	7/20/11	75.55	NW
E4	67	5	N	L2	28.26	NA	NA	0.00	28.26	100	0	0	0	11.5365	17.7578	29.2943	60.6187	0.0377	-0.0039	0.0338	7/20/11	77.97	W
E4	68	5	N	L3	20.51	NA	NA	0.00	20.51	100	0	0	0	2.8422	16.4750	19.3172	85.2867	0.0078	-0.2414	-0.2336	7/20/11	75.66	NW
E4	69	5	N	L4	NA	NA	NA	0.00	0.00	0	0	0	0	10.2826	36.2386	46.5212	77.8969	0.0337	-0.0636	-0.0299	7/20/11	79.29	W
E4	70	5	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	5.4743	89.4789	94.9532	94.2347	0.0183	-0.0908	-0.0724	7/20/11	80.97	NW
E4	71	5	S	L1	4.29	NA	38.19	0.00	42.48	10	0	90	0	10.4368	19.6884	30.1252	65.3553	0.0353	-0.0826	-0.0473	7/20/11	77.41	W
E4	72	5	S	L2	2.62	NA	55.65	0.00	58.27	4	0	96	0	14.1916	17.4680	31.6596	55.1746	0.0474	-0.0636	-0.0162	7/20/11	73.98	NW
E4	73	5	S	L3	0.75	NA	68.79	0.05	69.59	1	0	99	0	1.4470	13.1807	14.6277	90.1075	-0.0003	0.0193	0.0190	7/20/11	54.96	W
E4	74	5	S	L4	0.16	NA	62.67	0.00	62.83	0	0	100	0	6.3161	18.2218	24.5379	74.2597	0.0158	0.0357	0.0515	7/20/11	74.82	NW
E4	75	5	S	L5	NA	NA	77.54	0.00	77.54	0	0	100	0	3.4109	11.7642	15.1751	77.5233	0.0087	-0.0083	0.0004	7/20/11	49.34	W
E4	76	5	P	L1	7.91	27.46	NA	0.00	35.37	22	78	0	0	11.3979	31.1058	42.5036	73.1837	0.0360	-0.0519	-0.0159	7/20/11	75.35	NW
E4	77	5	P	L2	10.79	12.95	NA	0.00	23.74	45	55	0	0	12.5489	27.0735	39.6224	68.3288	0.0411	-0.1186	-0.0776	7/20/11	76.95	NW
E4	78	5	P	L3	8.13	20.05	NA	0.00	28.18	29	71	0	0	7.0300	22.2418	29.2718	75.9836	0.0226	0.0482	0.0708	7/20/11	75.11	NW
E4	79	5	P	L4	5.40	30.41	NA	0.00	35.81	15	85	0	0	11.7033	25.1776	36.8809	68.2673	0.0369	-0.0716	-0.0347	7/20/11	79.86	NW
E4	80	5	P	L5	NA	27.46	NA	0.00	27.46	0	100	0	0	11.7627	21.9282	33.6909	65.0865	0.0378	0.0172	0.0551	7/20/11	79.35	NW
E4	81	6	N	L0	49.47	NA	NA	0.00	49.47	100	0	0	0	5.5843	51.4392	57.0235	90.2070	0.0180	0.1388	0.1568	7/20/11	69.38	NW
E4	82	6	N	L1	36.76	NA	NA	0.00	36.76	100	0	0	0	4.0772	41.4143	45.4916	91.0374	0.0123	0.1074	0.1197	7/20/11	67.85	NW
E4	83	6	N	L2	18.99	NA	NA	0.00	18.99	100	0	0	0	10.8320	52.1180	62.9500	82.7927	0.0358	0.0888	0.1246	7/20/11	78.45	NW
E4	84	6	N	L3	8.05	NA	NA	0.16	8.21	98	0	0	2	4.6353	55.3013	59.9366	92.2663	0.0149	-0.1994	-0.1845	7/20/11	79.37	W
E4	85	6	N	L4	15.17	NA	NA	0.00	15.17	100	0	0	0	7.3747	47.0830	54.4578	86.4579	0.0215	0.0654	0.0869	7/20/11	78.26	NW
E4	86	6	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	4.4658	93.0122	97.4780	95.4186	0.0118	0.1631	0.1749	7/20/11	81.61	W
E4	87	6	S	L1	3.03	NA	75.16	0.00	78.19	4	0	96	0	5.9024	60.0126	65.9149	91.0455	0.0162	0.1045	0.1207	7/20/11	80.15	NW
E4	88	6	S	L2	2.86	NA	89.15	0.00	92.01	3	0	97	0	2.0076	25.4942	27.5018	92.7000	0.0049	0.0656	0.0705	7/20/11	52.26	W
E4	89	6	S	L3	0.67	NA	80.51	0.00	81.18	1	0	99	0	5.9103	48.0526	53.9629	89.0474	0.0132	0.0209	0.0341	7/20/11	74.81	NW
E4	90	6	S	L4	0.31	NA	88.37	0.00	88.68	0	0	100	0	7.6089	49.9537	57.5626	86.7815	0.0210	0.0357	0.0567	7/20/11	76.98	W
E4	91	6	S	L5	NA	NA	74.65	0.00	74.65	0	0	100	0	2.1197	35.5094	37.6291	94.3669	0.0021	0.1022	0.1044	7/20/11	66.54	W
E4	92	6	P	L1	28.45	3.15	NA	0.00	31.60	90	10	0	0	2.9659	54.2943	57.2602	94.8202	0.0068	0.1713	0.1781	7/20/11	73.99	NW
E4	93	6	P	L2	19.12	12.00	NA	0.00	31.12	61	39	0	0	4.4200	66.4599	70.8799	93.7640	0.0131	0.1996	0.2127	7/20/11	80.62	NW
E4	94	6	P	L3	15.19	21.13	NA	0.00	36.32	42	58	0	0	7.9857	38.6947	46.6804	82.8928	0.0237	0.1188	0.1425	7/20/11	72.53	NW
E4	95	6	P	L4	7.97	24.16	NA	0.00	32.13	25	75	0	0	15.1785	59.0035	74.1821	79.5388	0.0507	0.0406	0.0913	7/20/11	81.07	NW
E4	96	6	P	L5	NA	31.41	NA	0.00	31.41	0	100	0	0	4.2797	44.7701	49.0499	91.2747	0.0125	0.1176	0.1301	7/20/11	76.47	W
E4	97	7	N	L0	38.75	NA	NA	0.00	38.75	100	0	0	0	7.2174	68.0622	75.2796	90.4126	NA	NA	NA	7/22/11	81.76	NW
E4	98	7	N	L1	36.81	NA	NA	0.00	36.81	100	0	0	0	8.7562	50.0524	58.8086	85.1106	0.0251	0.0029	0.0280	7/22/11	78.21	NW
E4	99	7	N	L2	33.43	NA	NA	0.00	33.43	100	0	0	0	32.8182	32.4397	65.2578	49.7100	0.1057	-0.0354	0.0703	7/22/11	80.52	NW
E4	100	7	N	L3	24.05	NA	NA	0.00	24.05	100	0	0	0	5.8605	38.5258	44.3863	86.7966	0.0141	0.0889	0.1030	7/22/11	72.93	NW
E4	101	7	N	L4	15.05	NA	NA	0.00	15.05	100	0	0	0	4.6590	55.7273	60.3863	92.2846	0.0093	0.1443	0.1536	7/22/11	81.63	W
E4	102	7	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	14.4730	87.1059	101.5789	85.7519	0.0401	0.1860	0.2260	7/22/11	83.27	NW
E4	103	7	S	L1	4.73	NA	84.22	0.00	88.95	5	0	95	0	4.4963	48.2105	52.7068	91.4692	0.0093	0.0756	0.0849	7/22/11	76.95	NW
E4	104	7	S	L2	4.55	NA	60.70	0.00	65.25	7	0	93	0	6.1026	48.6963	54.7989	88.8636	0.0121	0.1034	0.1155	7/22/11	77.14	NW
E4	105	7	S	L3	0.57	NA	122.08	0.00	122.65	0	0	100	0	12.8691	29.9182	42.7872	69.9231	0.0383	0.0664	0.1046	7/22/11	64.32	W
