"potid"	"bk"	"type"	"comptrt"	"mvtrt"	"mivi"	"total"	"soilmeas"	"soilval"
"303"	91	6	"Sobi"	"S"	0	0	74.65	"nodi"	35.5094
"304"	96	6	"Pavi"	"P"	0	0	31.41	"nodi"	44.7701
"305"	102	7	"Empty"	"N"	0	0	0	"nodi"	87.1059
"306"	107	7	"Sobi"	"S"	0	0	114.61	"nodi"	33.1456
"307"	112	7	"Pavi"	"P"	0	0	26.87	"nodi"	41.9796
"308"	118	8	"Empty"	"N"	0	0	0	"nodi"	63.9665
"309"	123	8	"Sobi"	"S"	0	0	115.83	"nodi"	21.043
"310"	128	8	"Pavi"	"P"	0	0	34.35	"nodi"	34.3721
"311"	134	9	"Empty"	"N"	0	0	0	"nodi"	80.085
"312"	139	9	"Sobi"	"S"	0	0	107.89	"nodi"	4.169
"313"	144	9	"Pavi"	"P"	0	0	46.19	"nodi"	43.9048
"314"	150	10	"Empty"	"N"	0	0	0	"nodi"	85.6741
"315"	155	10	"Sobi"	"S"	0	0	81.01	"nodi"	11.6982
"316"	160	10	"Pavi"	"P"	0	0	48.47	"nodi"	6.2845
"317"	1	1	"Mivi"	"N"	6	25.35	25.35	"totdi"	47.478
"318"	17	2	"Mivi"	"N"	6	26.07	26.07	"totdi"	60.8877
"319"	33	3	"Mivi"	"N"	6	22.85	22.85	"totdi"	28.0096
"320"	49	4	"Mivi"	"N"	6	42.42	42.42	"totdi"	33.957
"321"	65	5	"Mivi"	"N"	6	41.36	41.36	"totdi"	33.6301
"322"	81	6	"Mivi"	"N"	6	49.47	49.47	"totdi"	57.0235
"323"	97	7	"Mivi"	"N"	6	38.75	38.75	"totdi"	75.2796
"324"	113	8	"Mivi"	"N"	6	41.66	41.66	"totdi"	51.8705
"325"	129	9	"Mivi"	"N"	6	38.33	38.33	"totdi"	81.7191
"326"	2	1	"CompEmpty"	"N"	5	27.76	27.76	"totdi"	38.9476
"327"	7	1	"CompSobi"	"S"	5	6.77	53.09	"totdi"	25.4127
"328"	12	1	"CompPavi"	"P"	5	21.16	25.66	"totdi"	51.7765
"329"	18	2	"CompEmpty"	"N"	5	25.64	25.64	"totdi"	45.73
"330"	23	2	"CompSobi"	"S"	5	2.16	47.12	"totdi"	28.8796
"331"	28	2	"CompPavi"	"P"	5	19.1	24.32	"totdi"	50.107
"332"	34	3	"CompEmpty"	"N"	5	14.75	14.75	"totdi"	37.7204
"333"	39	3	"CompSobi"	"S"	5	2.7	42.17	"totdi"	27.3584
"334"	44	3	"CompPavi"	"P"	5	33.74	37.62	"totdi"	41.6187
"335"	50	4	"CompEmpty"	"N"	5	35.79	35.79	"totdi"	25.1686
"336"	55	4	"CompSobi"	"S"	5	3.44	57.84	"totdi"	23.7507
"337"	60	4	"CompPavi"	"P"	5	14.58	25.08	"totdi"	41.9892
"338"	66	5	"CompEmpty"	"N"	5	28.24	28.24	"totdi"	31.1494
"339"	71	5	"CompSobi"	"S"	5	4.29	42.48	"totdi"	30.1252
